sequence,timestamp,lidar_min,lidar_max,lidar_mean,lidar_std,pose_min,pose_max,pose_mean,pose_std,imu_min,imu_max,imu_mean,imu_std,target_min,target_max,target_mean,target_std
38,1732072350003,-2.9158811569213867,4.2464280128479,0.30242282152175903,0.864248514175415,-0.535817563533783,0.9077246189117432,0.08927178382873535,0.7409423589706421,-0.7275425791740417,0.6490426063537598,0.14600490033626556,0.7594108581542969,-0.37816864252090454,-0.14468909800052643,-0.2614288628101349,0.16509497165679932
39,1732072350053,-2.344820261001587,2.345203399658203,0.16171717643737793,0.5837281942367554,-0.0977407768368721,0.17521314322948456,0.02119823545217514,0.13981665670871735,-0.5255661606788635,0.5156618356704712,0.13581082224845886,0.5748752951622009,-0.3160049021244049,-0.026445001363754272,-0.1712249517440796,0.20474977791309357
40,1732072350104,-0.866541862487793,2.1712372303009033,0.008074499666690826,0.3596732020378113,-0.0010562740499153733,0.015576152130961418,0.007807178422808647,0.008370054885745049,-0.509157657623291,0.573162317276001,0.15186505019664764,0.5796165466308594,-0.24422475695610046,0.0021133965346962214,-0.12105567753314972,0.17418737709522247
41,1732072350151,-2.6831631660461426,2.0310070514678955,0.008110356517136097,0.5081267356872559,-0.15295498073101044,0.11091402918100357,-0.0003591527638491243,0.1367018073797226,-0.408905565738678,0.5310094356536865,0.14495453238487244,0.4919135868549347,-0.33491936326026917,0.027282433584332466,-0.15381845831871033,0.2561153471469879
42,1732072350202,-2.4487879276275635,1.9148523807525635,-0.050512637943029404,0.48959285020828247,-0.1515798419713974,0.1109328344464302,0.0006272445316426456,0.13618013262748718,-0.9229350686073303,0.9487525224685669,0.18536430597305298,0.9823576211929321,-0.3350480794906616,0.02708452194929123,-0.1539817750453949,0.2560664117336273
43,1732072350250,-2.2676737308502197,1.8165887594223022,-0.04323684796690941,0.5225674510002136,-0.33517345786094666,0.21769140660762787,-0.022721290588378906,0.28338515758514404,-0.4036606550216675,0.5589616894721985,0.16187259554862976,0.5029318928718567,-0.35854005813598633,0.05664872005581856,-0.15094566345214844,0.2935827970504761
44,1732072350302,-2.121093511581421,3.6962757110595703,0.10300757735967636,0.6674917936325073,-0.23276387155056,0.409799724817276,0.04503320902585983,0.32999205589294434,-1.1453927755355835,0.9502550363540649,0.16684138774871826,1.1435354948043823,-0.425641268491745,-0.06430965662002563,-0.24497546255588531,0.25550001859664917
45,1732072350345,-2.0005428791046143,3.20286226272583,0.2124107927083969,0.7259776592254639,-0.24651217460632324,0.429423987865448,0.05103425309062004,0.3451436758041382,-0.5465129613876343,0.6848601698875427,0.13650280237197876,0.6266335248947144,-0.4198332726955414,-0.06773592531681061,-0.2437846064567566,0.2489704191684723
46,1732072350397,-1.8976263999938965,2.865718364715576,0.253272145986557,0.7801541686058044,-0.420843243598938,0.7213748097419739,0.0837024599313736,0.5826298594474792,-0.6912787556648254,0.7322293519973755,0.17975245416164398,0.7633488178253174,-0.4434378445148468,-0.11570701748132706,-0.27957242727279663,0.23174069821834564
47,1732072350451,-1.7785080671310425,2.6169321537017822,0.4056028425693512,0.853689968585968,-0.7820917963981628,1.3761069774627686,0.1535072773694992,1.1073538064956665,-0.7533736228942871,0.6718713045120239,0.14215001463890076,0.7798649668693542,-0.2838210463523865,-0.22461369633674622,-0.25421738624572754,0.04186591878533363
48,1732072350508,-1.7267826795578003,2.422767400741577,0.4187919795513153,0.8604059219360352,-0.8185966610908508,1.4240901470184326,0.15409442782402039,1.1505231857299805,-0.8240804672241211,0.9503180384635925,0.20194706320762634,0.9192074537277222,-0.2641930878162384,-0.23742429912090302,-0.2508086860179901,0.018928391858935356
49,1732072350560,-1.6824700832366943,2.2661666870117188,0.41480037569999695,0.8482195734977722,-0.7770935297012329,1.3378078937530518,0.1428581178188324,1.0839372873306274,-0.3960946798324585,0.48300665616989136,0.18303269147872925,0.5016470551490784,-0.26857274770736694,-0.2270432859659195,-0.24780800938606262,0.029365763068199158
50,1732072350606,-1.5281099081039429,2.1350326538085938,0.3369968831539154,0.7035249471664429,-0.5854504108428955,1.0193367004394531,0.11515355110168457,0.8215344548225403,-0.20533977448940277,0.42431193590164185,0.09933829307556152,0.3153161108493805,-0.2404962033033371,-0.173860564827919,-0.20717838406562805,0.04711851105093956
51,1732072350658,-1.785296082496643,2.0279555320739746,0.4547754228115082,0.9211543798446655,-1.2627748250961304,2.019709348678589,0.22261254489421844,1.6632943153381348,-0.9547634124755859,1.2413194179534912,0.270343154668808,1.119880199432373,-0.3647872507572174,-0.27395230531692505,-0.3193697929382324,0.06423000246286392
52,1732072350704,-2.059483289718628,2.441385507583618,0.6226106882095337,1.1871587038040161,-1.2887728214263916,1.9888825416564941,0.20434121787548065,1.6581475734710693,-0.1587376594543457,0.501252293586731,0.24503487348556519,0.3538729250431061,-0.3745017349720001,-0.2586609721183777,-0.3165813684463501,0.08191178739070892
53,1732072350750,-2.3467423915863037,2.7265498638153076,0.7063165903091431,1.3590437173843384,-1.5936299562454224,2.3737969398498535,0.25850749015808105,1.9967613220214844,-0.4935039281845093,0.7943243384361267,0.30054065585136414,0.6944370865821838,-0.4730345606803894,-0.3067307472229004,-0.3898826539516449,0.11759455502033234
54,1732072350808,-2.2674498558044434,2.535722255706787,0.6662120223045349,1.2979792356491089,-1.5075829029083252,2.2033679485321045,0.2242550104856491,1.8677922487258911,-0.6452329158782959,1.0941787958145142,0.3635750412940979,0.9024613499641418,-0.4590494930744171,-0.3358857035636902,-0.39746761322021484,0.08708994835615158
55,1732072350851,-2.201483964920044,2.479419469833374,0.6634272336959839,1.2896322011947632,-1.4916976690292358,2.1279942989349365,0.2091318815946579,1.819669246673584,-0.046329282224178314,0.6237258911132812,0.33852943778038025,0.3459666073322296,-0.46242809295654297,-0.3248479664325714,-0.393638014793396,0.09728384017944336
56,1732072350898,-1.674490213394165,1.826856017112732,0.4871037006378174,0.9706962704658508,-1.0684521198272705,1.51683509349823,0.1307247132062912,1.302741527557373,-0.09517007321119308,0.5116037130355835,0.2306506335735321,0.305865079164505,-0.3356371819972992,-0.2742561101913452,-0.3049466609954834,0.04340297356247902
57,1732072350953,-1.4191962480545044,1.602360725402832,0.4031173884868622,0.8160385489463806,-0.9687131643295288,1.3765194416046143,0.11318600177764893,1.1830966472625732,-0.7759100198745728,0.9639378786087036,0.21114861965179443,0.893268883228302,-0.3088928759098053,-0.23621834814548492,-0.2725556194782257,0.05138865113258362
58,1732072351002,-1.2337621450424194,1.5529125928878784,0.33285391330718994,0.6695336103439331,-0.7935968637466431,1.115675926208496,0.07399332523345947,0.9664686918258667,-0.4176493287086487,0.5597715377807617,0.15757928788661957,0.5111693143844604,-0.2530667185783386,-0.1719912737607956,-0.2125290036201477,0.05732899531722069
59,1732072351053,-2.0898451805114746,1.5087426900863647,0.23919200897216797,0.5997477173805237,-0.30778446793556213,0.5077056884765625,0.03584315627813339,0.4225981533527374,-0.5652645826339722,0.5684220194816589,0.09368779510259628,0.5888663530349731,-0.34744992852211,-0.1111198291182518,-0.2292848825454712,0.1671106070280075
60,1732072351106,-2.000708818435669,1.4681005477905273,0.20120394229888916,0.5607876777648926,-0.3148290812969208,0.5107129812240601,0.017176151275634766,0.4358316957950592,-0.27804577350616455,0.5940811634063721,0.17355236411094666,0.4368928074836731,-0.3646872341632843,-0.11232412606477737,-0.23850567638874054,0.1784476786851883
61,1732072351153,-1.921787977218628,1.4302213191986084,0.13774538040161133,0.5131431818008423,-0.1968073546886444,0.3511927127838135,0.02017456293106079,0.29125455021858215,-0.34058210253715515,0.6302540898323059,0.19202372431755066,0.4922507107257843,-0.3948553800582886,-0.07563184946775436,-0.23524361848831177,0.22572511434555054
62,1732072351206,-1.8518974781036377,1.3938971757888794,0.07182656973600388,0.34797704219818115,-0.06433083117008209,0.05862916260957718,-0.0038398480974137783,0.06150386109948158,-0.5865392088890076,0.4216737151145935,0.06630280613899231,0.5661184787750244,-0.27167361974716187,-0.009802675805985928,-0.14073814451694489,0.1851707249879837
63,1732072351258,-1.7886298894882202,1.3611923456192017,0.028509950265288353,0.2904873192310333,-0.05143478512763977,0.09240850806236267,0.0026626563630998135,0.07826768606901169,-0.8040034174919128,0.6766360998153687,0.07924316823482513,0.7806136012077332,-0.23394978046417236,-0.017793579027056694,-0.1258716732263565,0.15284551680088043
64,1732072351315,-1.7322319746017456,1.3314852714538574,0.031300853937864304,0.3203878104686737,-0.06595519930124283,0.08203815668821335,-0.0022792990785092115,0.07612531632184982,-0.5991399884223938,0.4092343747615814,0.07149088382720947,0.5807884335517883,-0.2655622661113739,0.018635932356119156,-0.12346316874027252,0.2009584754705429
